time1;angular1;time2;angular2;time3;angular3;time4;angular4;time5;angular5;time6;angular6;time7;angular7;time8;angular8;time9;angular9;time10;angular10;time11;angular11;time12;angular12;time13;angular13;time14;angular14;time15;angular15;time16;angular16
0.000000;0.000000;0.000000;0.008522;0.000000;0.012650;0.000000;0.000000;0.000000;-0.003196;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.100000;0.312256;0.100000;0.034222;0.100000;-0.005859;0.100000;0.020506;0.100000;-0.029295;0.100000;0.667255;0.100000;-0.003728;0.100000;-0.148738;0.100000;0.084023;0.100000;-0.060454;0.100000;0.050866;0.100000;0.070307;0.100000;-0.001731;0.100000;0.058856;0.100000;0.058856;0.100000;-0.008522
0.200000;0.213852;0.200000;0.009987;0.200000;-0.000133;0.200000;0.007856;0.200000;-0.008788;0.200000;0.887498;0.200000;0.011452;0.200000;-0.075634;0.200000;0.060454;0.200000;-0.047271;0.200000;0.007324;0.200000;0.022504;0.200000;0.165782;0.200000;0.057391;0.200000;0.057391;0.200000;0.063383
0.300000;0.148871;0.300000;0.015979;0.300000;0.031026;0.300000;0.005193;0.300000;0.057924;0.300000;1.106810;0.300000;-0.062052;0.300000;-0.093477;0.300000;0.024235;0.300000;0.020639;0.300000;-0.002663;0.300000;-0.005992;0.300000;0.190150;0.300000;0.060187;0.300000;0.060187;0.300000;0.127699
0.400000;0.078963;0.400000;-0.003462;0.400000;0.041146;0.400000;0.005326;0.400000;0.139150;0.400000;1.319863;0.400000;-0.043942;0.400000;-0.176035;0.400000;-0.012783;0.400000;0.012251;0.400000;-0.068177;0.400000;0.016245;0.400000;0.139816;0.400000;0.006924;0.400000;0.006924;0.400000;0.118244
0.500000;0.052597;0.500000;-0.043676;0.500000;0.053130;0.500000;-0.014647;0.500000;0.172173;0.500000;1.330782;0.500000;-0.066446;0.500000;-0.321976;0.500000;-0.023036;0.500000;-0.083091;0.500000;0.056060;0.500000;0.111720;0.500000;-0.038616;0.500000;0.002796;0.500000;0.002796;0.500000;-0.020373
0.600000;0.080294;0.600000;-0.064182;0.600000;0.052864;0.600000;0.008389;0.600000;0.144210;0.600000;1.231712;0.600000;-0.071506;0.600000;-0.389754;0.600000;-0.038350;0.600000;-0.066979;0.600000;0.129962;0.600000;-0.025167;0.600000;0.011052;0.600000;0.075501;0.600000;0.075501;0.600000;0.072172
0.700000;0.115049;0.700000;0.019308;0.700000;0.043010;0.700000;0.000799;0.700000;0.094542;0.700000;1.063533;0.700000;-0.036086;0.700000;-0.472977;0.700000;-0.043809;0.700000;-0.074702;0.700000;0.083224;0.700000;-0.234891;0.700000;0.141414;0.700000;0.119176;0.700000;0.119176;0.700000;-0.111720
0.800000;0.194278;0.800000;0.061519;0.800000;0.023702;0.800000;0.026099;0.800000;0.105062;0.800000;0.846086;0.800000;0.018775;0.800000;-0.634099;0.800000;-0.062052;0.800000;0.117179;0.800000;0.040480;0.800000;-0.179897;0.800000;0.149936;0.800000;0.092678;0.800000;0.092678;0.800000;-0.189218
0.900000;0.272042;0.900000;0.039814;0.900000;0.031825;0.900000;0.008922;0.900000;0.055394;0.900000;0.596814;0.900000;-0.070441;0.900000;-0.744354;0.900000;-0.055793;0.900000;0.198006;0.900000;0.090148;0.900000;-0.111054;0.900000;-0.068177;0.900000;0.087751;0.900000;0.087751;0.900000;-0.109056
1.000000;0.358195;1.000000;-0.003329;1.000000;0.033290;1.000000;0.019974;1.000000;0.024235;1.000000;0.358328;1.000000;-0.138884;1.000000;-0.662594;1.000000;-0.082691;1.000000;0.410393;1.000000;0.246342;1.000000;-0.098137;1.000000;-0.011052;1.000000;0.040746;1.000000;0.040746;1.000000;0.022237
1.100000;0.486826;1.100000;-0.015180;1.100000;0.033955;1.100000;-0.009721;1.100000;0.027297;1.100000;0.211322;1.100000;-0.171907;1.100000;-0.762862;1.100000;-0.097605;1.100000;0.611195;1.100000;0.201734;1.100000;0.033156;1.100000;0.169111;1.100000;0.150069;1.100000;0.150069;1.100000;0.020639
1.200000;0.592287;1.200000;0.042744;1.200000;0.042877;1.200000;-0.009055;1.200000;0.013449;1.200000;0.035820;1.200000;-0.192813;1.200000;-0.639958;1.200000;-0.119975;1.200000;0.963931;1.200000;-0.088816;1.200000;0.181095;1.200000;0.127565;1.200000;0.194943;1.200000;0.194943;1.200000;0.136088
1.300000;0.676310;1.300000;0.041013;1.300000;0.027564;1.300000;-0.002663;1.300000;-0.060986;1.300000;0.014248;1.300000;-0.250737;1.300000;-0.588958;1.300000;-0.143678;1.300000;1.294163;1.300000;-0.363921;1.300000;0.345945;1.300000;-0.093477;1.300000;0.152732;1.300000;0.152732;1.300000;0.231695
