measurement;spinning_period;uncertainty_spinning_period;weight;uncertainty_weight;lever_arm;uncertainty_lever_arm
1;0.30;0.01;29.9;0.1;33.2;0.4
2;0.42;0.02;29.9;0.1;23.9;0.1
3;0.49;0.02;29.9;0.1;33.2;0.4
4;0.50;0.03;29.9;0.1;19.9;0.1
5;0.48;0.03;29.9;0.1;19.9;0.1
6;0.38;0.02;59.8;0.2;33.0;0.4
7;0.40;0.02;59.8;0.2;19.7;0.1
8;0.328;0.006;59.8;0.2;19.7;0.1
9;0.34;0.02;59.8;0.2;33.0;0.4
10;0.59;0.04;59.8;0.2;33.0;0.4
11;0.299;0.005;29.9;0.1;33.2;0.4
12;0.339;0.006;29.9;0.1;33.2;0.4
13;0.290;0.005;29.9;0.1;23.9;0.1
14;0.267;0.004;29.9;0.1;19.9;0.1
15;0.256;0.007;59.8;0.2;19.7;0.1
16;0.37;0.02;59.8;0.2;33.2;0.4
