"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,-3.195793296E-3,2.836266550E-2,-3.994741620E-4
1.000000000E-1,-2.929477188E-2,2.543318831E-2,-3.861583566E-3
2.000000000E-1,-8.788431564E-3,2.436792388E-2,-4.527373836E-3
3.000000000E-1,5.792375349E-2,2.596582053E-2,-6.657902700E-4
4.000000000E-1,1.391501664E-1,1.464738594E-2,2.530003026E-3
5.000000000E-1,1.721733638E-1,2.396844972E-2,4.127899674E-3
6.000000000E-1,1.442101725E-1,2.676476885E-2,3.328951350E-3
7.000000000E-1,9.454221834E-2,2.490055610E-2,2.130528864E-3
8.000000000E-1,1.050617046E-1,1.571265037E-2,5.326322160E-4
9.000000000E-1,5.539375046E-2,1.744370507E-2,9.187905726E-3
1.000000000E0,2.423476583E-2,2.450108194E-2,1.331580540E-4
1.100000000E0,2.729740107E-2,2.356897556E-2,5.326322160E-4
1.200000000E0,1.344896345E-2,2.596582053E-2,3.595267458E-3
1.300000000E0,-6.098638873E-2,2.130528864E-2,-2.530003026E-3
1.400000000E0,-7.390271997E-2,3.328951350E-2,-2.663161080E-3
1.500000000E0,-4.394215782E-3,2.383529167E-2,-7.989483240E-4
1.600000000E0,-2.929477188E-3,2.716424302E-2,1.864212756E-3
1.700000000E0,-7.470166829E-2,2.410160777E-2,-3.328951350E-3
1.800000000E0,-1.536643943E-1,2.756371718E-2,-1.464738594E-3
1.900000000E0,-1.479385980E-1,2.530003026E-2,-3.595267458E-3
2.000000000E0,-8.335694180E-2,2.277002723E-2,-9.187905726E-3
2.100000000E0,2.450108194E-2,2.370213361E-2,3.861583566E-3
2.200000000E0,7.989483240E-2,2.277002723E-2,2.663161080E-3
2.300000000E0,-4.048004842E-2,2.356897556E-2,-9.853695996E-3
2.400000000E0,-8.548747067E-2,2.383529167E-2,3.861583566E-3
2.500000000E0,-6.910903003E-2,2.277002723E-2,-4.527373836E-3
2.600000000E0,-4.514058031E-2,1.970739199E-2,-4.660531890E-3
2.700000000E0,1.557949232E-2,1.518001816E-2,6.657902700E-4
2.800000000E0,-1.491370205E-2,2.423476583E-2,-6.258428538E-3
2.900000000E0,5.299690549E-2,1.691107286E-2,1.784317924E-2
3.000000000E0,1.717738897E-2,1.078580237E-2,7.590009078E-3
3.100000000E0,-7.550061662E-2,2.969424604E-2,-7.190534916E-3
3.200000000E0,-4.980111220E-2,2.569950442E-2,3.595267458E-3
3.300000000E0,-3.382214572E-2,2.583266248E-2,3.861583566E-3
3.400000000E0,-5.326322160E-4,2.090581448E-2,-3.728425512E-3
3.500000000E0,-2.263686918E-2,2.703108496E-2,-1.464738594E-3
3.600000000E0,1.118527654E-2,2.063949837E-2,-1.158475070E-2
3.700000000E0,1.391501664E-1,1.877528561E-2,3.328951350E-3
3.800000000E0,-1.398159567E-2,2.889529772E-2,-5.326322160E-4
3.900000000E0,-9.893643412E-2,2.583266248E-2,1.065264432E-3
4.000000000E0,-1.085238140E-1,2.796319134E-2,-8.788431564E-3
4.100000000E0,-3.635214874E-2,2.290318529E-2,-3.062635242E-3
4.200000000E0,-5.326322160E-4,2.543318831E-2,5.326322160E-3
4.300000000E0,1.091896043E-2,2.929477188E-2,-1.864212756E-3
4.400000000E0,-3.595267458E-2,3.435477793E-2,5.592638268E-3
4.500000000E0,-5.193164106E-2,2.889529772E-2,-4.394215782E-3
4.600000000E0,-4.687163501E-2,1.611212453E-2,-4.660531890E-3
4.700000000E0,-7.323692970E-2,3.209109101E-2,-1.358212151E-2
4.800000000E0,-8.335694180E-2,3.262372323E-2,-7.590009078E-3
4.900000000E0,-1.097222365E-1,2.277002723E-2,-9.986854050E-3
5.000000000E0,-1.663144094E-1,3.262372323E-2,3.328951350E-3
5.100000000E0,-1.978728682E-1,2.157160475E-2,5.459480214E-3
5.200000000E0,-2.653840016E-1,2.969424604E-2,-7.590009078E-3
5.300000000E0,-3.195793296E-1,2.237055307E-2,-1.864212756E-3
5.400000000E0,-4.045341681E-1,3.235740712E-2,-9.054747672E-3
5.500000000E0,-4.816326813E-1,2.982740410E-2,-1.398159567E-2
5.600000000E0,-5.022721797E-1,3.488741015E-2,-1.211738291E-2
5.700000000E0,-5.687180486E-1,3.888215177E-2,-1.278317318E-2
5.800000000E0,-5.787049027E-1,3.315635545E-2,-4.527373836E-3
5.900000000E0,-5.994775591E-1,3.608583263E-2,-1.597896648E-3
6.000000000E0,-5.836317507E-1,3.462109404E-2,-1.691107286E-2
6.100000000E0,-5.707154194E-1,3.528688431E-2,-1.478054399E-2
6.200000000E0,-4.978779639E-1,3.235740712E-2,-4.527373836E-3
6.300000000E0,-4.853611068E-1,3.568635847E-2,-1.358212151E-2
6.400000000E0,-4.233094537E-1,3.715109707E-2,-1.065264432E-2
6.500000000E0,-3.908188885E-1,3.781688734E-2,-1.424791178E-2
6.600000000E0,-2.954777218E-1,2.916161383E-2,-3.062635242E-3
6.700000000E0,-2.307629076E-1,2.503371415E-2,-2.530003026E-3
6.800000000E0,-2.070607740E-1,3.275688128E-2,-3.062635242E-3
6.900000000E0,-1.685780964E-1,2.956108799E-2,-1.331580540E-3
7.000000000E0,-9.187905726E-2,1.624528259E-2,5.193164106E-3
7.100000000E0,-1.302285768E-1,3.382214572E-2,-8.655273510E-3
7.200000000E0,-1.037301241E-1,2.956108799E-2,5.060006052E-3
